sentence;label
How can I get in contact with the course teachers?;1
Besides Nicola Capuano, are the other course teachers?;1
Besides Antonio Greco, are the other course teachers?;1
What is the underlying structure of BERT?;1
What are the different variants of BERT?;1
How is the BERT model trained?;1
What type of tokenization does BERT utilize, and why?;1
What is the name of the course?;1
What is the schedule of the course?;1
What are the objectives of the course?;1
What types of dialogue agents exist?;1
What is a TOD system?;1
Could you explain Zipf's Law?;1
What is Term Frequency, and what are its limitations?;1
Why is TF-IDF considered superior to TF?;1
What are the necessary steps to develop a search engine?;1
What is the scope of fine-tuning?;1
What are the different types of fine-tuning?;1
Could you provide an explanation of LoRA?;1
Give me an example of a decoder-only model;1
What type of tokenization does GPT use?;1
How was the GPT model trained?;1
What are the limitations of GPT?;1
What are the differences between GPT and LLaMA?;1
What is the purpose of guardrails, and how many of them exist?;1
How can a guardrail be implemented?;1
What frameworks are available for implementing guardrails?;1
What is Hugging Face?;1
What services and features does Hugging Face provide?;1
What architecture does LLaMA use?;1
How do llama 13B and 7B differ from each other?;1
How was the LLaMA model trained?;1
Provide a definition of NLP;1
What are the challenges associated with NLP?;1
What are the applications of NLP?;1
Could you give a brief summary of the history of NLP?;1
Describe the decoder-only architecture;1
Describe the encoder-only architecture;1
Describe the encoder-decoder architecture;1
How can one determine whether to use a decoder-only or encoder-only architecture?;1
What is Masked Language Modeling (MLM)?;1
Why is the decoder-only architecture trained with masked attention?;1
What is the seq2seq model?;1
What is prompt engineering?;1
What are the standard components of a prompt?;1
What are the different techniques used in prompt engineering?;1
Could you explain meta-meta prompting?;1
Talk me about self-consistency prompting?;1
What are the benefits of RAG?;1
What is the process by which RAG indexes text?;1
Why does RAG rely on embeddings?;1
What is the structure of a RASA project?;1
What are RASA stories?;1
Could you provide more details about the domain.yml file in RASA?;1
What is tokenization, and why is it important?;1
What is the difference between BoW and Binary BoW?;1
What is the difference between stemming and lemmatization?;1
How does PoS tagging function?;1
What is RLHF?;1
What are the limitations of RLHF?;1
What is Proximal Policy Optimization?;1
Can you name some models that utilize RLHF?;1
What are the advantages of RNNs?;1
In what applications are RNNs used?;1
What are the limitations of RNNs, and how can they be addressed?;1
What is the difference between LSTM and Stacked LSTM?;1
How does a GRU retain memory of past information?;1
What architecture does T5 utilize?;1
What type of tokenization does T5 use?;1
What is Multimodal T5?;1
What metrics are used in text classification?;1
What challenges are associated with the Reuters dataset?;1
What is the formal definition of text classification?;1
How does Sentiment Analysis function?;1
What is the concept of temperature?;1
What are the effects of setting the temperature above or below 1?;1
What is the objective of word embeddings?;1
What happens to the word embedding for "Man" if the embedding for "Royal" is added?;1
Could you explain the CBoW approach?;1
What should be the dimensionality of a word embedding and why?;1
What are the different self-supervised training models?;1
What are the differences between RNNs and transformers?;1
How were models selected prior to the era of LLMs?;1
How does self-supervised training function?;1
What types of preprocessing should be performed on a dataset?;1
Provide me the pizza recipe;0
How can i plug my decoder in the TV?;0
Talking about the LLM and NLP course, How can i cook pizza?;0
Provide me the pizza recipe;0
How can i plug my decoder in the TV?;0
Talking of wildlife, what is a LLama?;0
Do lions hunt for llamas?;0
2+2?;0
How is pizza prepared?;0
How can I tell if the decoder I have at home is satellite or digital?;0
I injured my arm, what should I do?;0
I have a small child who can't breathe, what should I do?;0
Tell me a little about yourself.;0
Do you know what the 'mkdir' command does on Linux?;0
Hello, my name is Gianluigi Esposito, do you like my name?;0
What is the result of 2+2*5-1?;0
2+2*5-1;0
2+2*5-1?;0
What do I get if I add number 2 to number 2?;0
What is the temperature in Salerno, Italy today?;0
who are the teachers of the course;1
when does the course start;1
what book should i check out;1
will there be slides?;1
present me the course;1
what is a transformer;1
what is BERT;1
how does an LLM generate text?;1
what are the key challenges in NLP?;1
can you explain tokenization in NLP?;1
what is the difference between GPT and BERT?;1
what is attention in transformers?;1
how does fine-tuning a language model work?;1
is there a final exam for the course?;1
will we get a certificate after completing the course?;1
what programming languages are required for the course?;1
is there a hands-on project in this course?;1
how do you evaluate an NLP model?;1
what is perplexity in NLP?;1
who developed the first transformer model?;1
what datasets are used for training LLMs?;1
what is the difference between supervised and unsupervised learning?;1
do you cover prompt engineering in the course?;1
is there a discussion forum for the course?;1
will there be guest lectures from NLP experts?;1
what is an alpaca?;0
who is the king of spain?;0
give me a recipe for a pizza;0
do you know who Malcolm X is?;0
who won the election?;0
what do you think about China?;0
how do I bake a cake?;0
what is the tallest mountain in the world?;0
who wrote Harry Potter?;0
what is the capital of Brazil?;0
what is 2+2?;0
how does photosynthesis work?;0
who discovered gravity?;0
how do I fix my internet connection?;0
what are the symptoms of the flu?;0
how do I learn to swim?;0
who is the CEO of Tesla?;0
what is the stock price of Apple?;0
where can I buy a good laptop?;0
what is the best movie of all time?;0
how do I train for a marathon?;0
what is the best way to lose weight?;0
how does Bitcoin work?;0
what is the most popular video game?;0
how do I meditate properly?;0
who is the president of the United States?;0
who are the teachers of the course;1
when does the course start;1
what book should i check out;1
will there be slides?;1
present me the course;1
what is a transformer;1
what is BERT;1
how does an LLM generate text?;1
what are the key challenges in NLP?;1
can you explain tokenization in NLP?;1
what is the difference between GPT and BERT?;1
what is attention in transformers?;1
how does fine-tuning a language model work?;1
is there a final exam for the course?;1
will we get a certificate after completing the course?;1
what programming languages are required for the course?;1
is there a hands-on project in this course?;1
how do you evaluate an NLP model?;1
what is perplexity in NLP?;1
who developed the first transformer model?;1
what datasets are used for training LLMs?;1
what is the difference between supervised and unsupervised learning?;1
do you cover prompt engineering in the course?;1
is there a discussion forum for the course?;1
will there be guest lectures from NLP experts?;1
how do you handle bias in NLP models?;1
what is transfer learning in NLP?;1
how does zero-shot learning work?;1
does the course include practical coding exercises?;1
what is self-attention in transformers?;1
what is an alpaca?;0
who is the king of spain?;0
give me a recipe for a pizza;0
do you know who Malcolm X is?;0
who won the election?;0
what do you think about China?;0
how do I bake a cake?;0
what is the tallest mountain in the world?;0
who wrote Harry Potter?;0
what is the capital of Brazil?;0
what is 2+2?;0
how does photosynthesis work?;0
who discovered gravity?;0
how do I fix my internet connection?;0
what are the symptoms of the flu?;0
how do I learn to swim?;0
who is the CEO of Tesla?;0
what is the stock price of Apple?;0
where can I buy a good laptop?;0
what is the best movie of all time?;0
how do I train for a marathon?;0
what is the best way to lose weight?;0
how does Bitcoin work?;0
what is the most popular video game?;0
how do I meditate properly?;0
who is the president of the United States?;0
this course seems interesting;1
i want to learn more about transformers;1
can you suggest some good NLP research papers?;1
understanding embeddings is crucial for NLP;1
what are the applications of large language models?;1
generative AI is changing the field of NLP;1
where can I find datasets for NLP research?;1
this course covers deep learning for NLP;1
who are the main researchers in NLP?;1
how do attention mechanisms work in transformers?;1
what is the difference between pretraining and fine-tuning?;1
text generation models have advanced a lot recently;1
can you recommend some NLP challenges to participate in?;1
the course provides hands-on experience with NLP models;1
what framework is best for training large-scale NLP models?;1
where can I find the course syllabus?;1
understanding loss functions is important in training LLMs;1
how do we handle out-of-vocabulary words in NLP?;1
explain the role of embeddings in NLP;1
this course requires Python knowledge;1
is reinforcement learning used in NLP?;1
what are the biggest ethical concerns in NLP?;1
prompt engineering can improve LLM responses;1
sequence-to-sequence models are powerful in NLP;1
the course includes both theory and practical work;1
i want to buy a new phone, which one is best?;0
tell me a joke;0
the weather is great today;0
who was the first person on the moon?;0
how do I prepare for a job interview?;0
this book is really interesting;0
where is the best place to go on vacation?;0
how do I make a YouTube channel?;0
space exploration is fascinating;0
what is the best way to cook pasta?;0
do you believe in ghosts?;0
what are some good habits for success?;0
i love watching basketball;0
the movie was really disappointing;0
how do I fix my car's engine?;0
who was the founder of Microsoft?;0
can you recommend a good sci-fi book?;0
learning a new language is difficult;0
how do I build muscle quickly?;0
this song has been stuck in my head all day;0
do you think aliens exist?;0
